               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.9042,             0.88901,              1.6049,              0.9724,             0.99236,             0.98417,             0.66814,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  41,              1.9019,             0.88177,              1.5997,             0.97132,             0.99256,             0.98538,             0.66508,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  42,              1.9012,             0.89098,              1.5921,             0.96965,             0.99288,             0.98353,             0.66925,                   0,                   0,                   0,            0.008647,            0.008647,            0.008647
                  43,               1.902,             0.88362,              1.5973,             0.97085,             0.99288,             0.98481,             0.66807,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  44,              1.8969,              0.8793,               1.589,             0.97155,             0.99123,              0.9849,             0.66843,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
                  45,              1.8883,             0.87821,              1.5897,             0.97041,             0.99288,             0.98741,             0.66209,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  46,              1.8917,             0.88122,              1.5947,             0.97215,             0.99288,             0.98459,             0.66273,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  47,              1.9024,             0.88389,              1.5892,             0.97054,             0.99288,              0.9875,             0.67198,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  48,              1.8954,             0.88946,              1.5954,             0.97064,              0.9916,             0.98605,              0.6676,                   0,                   0,                   0,            0.008449,            0.008449,            0.008449
                  49,              1.8842,             0.87836,              1.5786,             0.97081,             0.99201,             0.98144,             0.66377,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  50,               1.879,             0.87445,              1.5812,             0.97174,             0.99313,             0.98556,             0.66848,                   0,                   0,                   0,            0.008383,            0.008383,            0.008383
                  51,              1.8819,             0.87569,              1.5967,             0.97167,              0.9916,             0.98482,             0.67555,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  52,              1.8735,             0.86427,              1.5855,             0.97198,             0.99416,             0.98285,             0.66972,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  53,              1.8732,             0.86587,              1.5939,             0.96851,              0.9916,             0.98386,             0.67145,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
