               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.2804,              5.4345,              5.2362,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               0.091,               0.001,               0.001
                   1,              5.3074,               5.364,              5.2116,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.081093,           0.0020931,           0.0020931
                   2,              5.2172,               5.231,              5.1865,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.071179,           0.0031789,           0.0031789
                   3,              5.5225,              5.1759,              5.1471,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.061257,           0.0042574,           0.0042574
                   4,              5.3758,              5.0758,               5.096,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.051329,           0.0053287,           0.0053287
                   5,              5.4175,              4.9753,              5.0464,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041393,           0.0063927,           0.0063927
                   6,              5.4891,              5.0101,              4.9997,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.03145,           0.0074495,           0.0074495
                   7,              5.1647,              4.7833,              4.9936,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.021499,            0.008499,            0.008499
                   8,              5.4662,              4.7582,              4.9259,          0.00066667,            0.037975,          0.00034774,          0.00021888,                   0,                   0,                   0,            0.011541,           0.0095413,           0.0095413
                   9,              5.2199,              4.8076,               4.922,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  10,               4.781,              4.4882,               4.861,          0.00022222,            0.012658,          0.00011638,          1.1638e-05,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,              4.5859,              4.4126,              4.7145,           0.0066667,             0.37975,            0.021335,           0.0042179,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,              4.4252,              4.3151,              4.5805,           0.0055556,             0.31646,            0.039033,           0.0095375,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,              4.5388,              4.2296,              4.3155,             0.21432,             0.11392,            0.099349,            0.021055,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,              4.1153,              3.9262,              4.1904,             0.19335,             0.20329,             0.10799,            0.032932,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,              3.9424,              3.7306,              4.0511,            0.014252,            0.075949,           0.0086488,           0.0026988,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,              3.8581,              3.5879,              3.8046,            0.013701,             0.75949,             0.14288,            0.050429,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,              3.6409,              3.3752,              3.7334,             0.24591,              0.1519,             0.10272,            0.025939,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,              3.5513,              3.1183,              3.6061,             0.23954,             0.25316,             0.16785,            0.041006,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  19,              3.3729,              3.1048,               3.455,              0.3233,             0.36709,             0.32018,             0.10565,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  20,              3.4044,               2.795,               3.472,             0.47227,             0.53165,             0.48757,             0.17107,                   0,                   0,                   0,            0.009373,            0.009373,            0.009373
                  21,              3.2121,              2.6501,              3.1943,             0.44441,             0.44554,             0.41854,              0.1696,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  22,              3.0506,              2.5944,               3.148,              0.5584,             0.48101,             0.45202,             0.16319,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  23,              3.0074,              2.3903,              2.9977,             0.34271,             0.41582,             0.24881,             0.11301,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  24,              2.9733,              2.4284,              2.9121,             0.39954,             0.34537,             0.29737,             0.13188,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  25,               2.889,              2.2328,              2.8092,              0.7339,             0.56962,             0.63914,             0.24013,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  26,              2.9397,              2.2905,              2.9481,             0.36545,             0.51899,             0.43558,             0.14919,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                  27,              2.9019,              2.2249,              2.7373,              0.4452,             0.42665,             0.37783,             0.16338,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  28,              2.8224,              2.0584,              2.7152,             0.37761,             0.43779,             0.37485,               0.125,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  29,               2.799,              2.0356,              2.6301,             0.46266,             0.48101,              0.4575,             0.18756,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  30,              2.7897,              1.9853,              2.5436,             0.59011,             0.51899,             0.59025,             0.17725,                   0,                   0,                   0,            0.009043,            0.009043,            0.009043
                  31,              2.7483,              1.9475,              2.5741,             0.57841,             0.64557,             0.60696,               0.277,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  32,              2.6805,              1.9358,              2.4522,             0.56658,             0.66193,             0.66546,             0.30912,                   0,                   0,                   0,            0.008977,            0.008977,            0.008977
                  33,              2.7068,               1.967,              2.4928,             0.63416,             0.50633,             0.58979,             0.24526,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
