               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.8134,              3.7026,              4.0637,             0.83274,             0.64751,             0.80483,             0.41233,                   0,                   0,                   0,            0.070319,           0.0032979,           0.0032979
                   1,              2.8427,              1.9657,              2.5018,             0.83185,              0.8456,             0.90061,              0.5079,                   0,                   0,                   0,            0.040297,           0.0066093,           0.0066093
                   2,              2.5601,              1.6965,              2.0814,             0.83314,             0.83275,             0.86858,             0.46556,                   0,                   0,                   0,            0.010253,           0.0098988,           0.0098988
                   3,              2.4182,              1.5197,              1.9152,             0.86945,             0.92798,             0.93839,             0.55179,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,              2.3143,              1.3736,              1.8341,             0.94583,             0.94801,             0.97905,             0.60377,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,              2.2454,              1.2745,              1.7978,             0.96276,             0.97334,             0.97995,             0.60064,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,              2.1997,              1.2061,              1.7545,             0.96268,              0.9796,             0.97909,             0.61498,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,              2.1582,               1.162,              1.7509,             0.92931,             0.94283,             0.97667,             0.57807,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,              2.1309,              1.1337,              1.7273,             0.96219,             0.98399,             0.98559,             0.63014,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,              2.1084,              1.1029,              1.7137,              0.9631,             0.98818,             0.98209,             0.61332,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,              2.0909,              1.0742,              1.6956,             0.96562,             0.98645,             0.98113,             0.63216,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,              2.1009,              1.0761,              1.6979,             0.96228,             0.98959,             0.97915,             0.63897,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,               2.063,              1.0417,              1.6896,             0.95753,             0.98745,             0.98114,             0.63082,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,              2.0624,              1.0474,              1.6806,             0.96913,             0.99004,             0.98615,             0.64452,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,              2.0297,              1.0173,              1.6676,             0.96691,             0.99203,             0.97994,             0.63665,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,              2.0319,               1.012,              1.6734,             0.96665,             0.98904,             0.98361,             0.63717,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,              2.0241,             0.99512,              1.6551,             0.97111,             0.98812,             0.98465,             0.63414,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,              2.0087,             0.99366,              1.6521,             0.96954,             0.99295,             0.98407,              0.6441,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,              1.9907,             0.97384,              1.6423,             0.96529,             0.99037,             0.97995,             0.63408,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  19,              1.9985,             0.97913,              1.6532,             0.96814,             0.99293,             0.97983,             0.64342,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  20,              2.0062,             0.97778,              1.6346,             0.96678,              0.9916,             0.98022,             0.65658,                   0,                   0,                   0,            0.009373,            0.009373,            0.009373
                  21,              1.9852,             0.96381,              1.6461,             0.96862,             0.99294,             0.98337,             0.64669,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  22,              1.9806,             0.95177,              1.6238,             0.96448,             0.99416,             0.98223,             0.64739,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  23,              1.9849,             0.96495,              1.6341,             0.96637,             0.99311,             0.98346,             0.64868,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  24,              1.9596,             0.94013,               1.632,             0.96666,              0.9916,             0.98098,             0.65874,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  25,              1.9633,             0.93634,              1.6195,             0.96366,             0.99256,              0.9771,             0.65872,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  26,               1.956,             0.93829,              1.6351,             0.97137,             0.99288,             0.98392,             0.65372,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                  27,              1.9609,             0.93537,              1.6219,              0.9675,             0.99448,             0.98626,             0.65816,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  28,              1.9579,             0.93839,              1.6162,             0.96774,             0.99345,              0.9823,             0.64782,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
